sector,camera,ccd,cut,objid,eventid,xccd,yccd,snr_psf,psf_like,psf_stacked,frame_duration,variable,gaia_id,gaia_color,dx,dy
27,1,1,2,283,1,536,180,9.59535,0.9554437,0,6,0,6658581914609384960,2.495454,0.03724505,-0.07591576
27,1,1,2,299,3,333,180,6.684297,0.9637057,0,2,0,6657314864898608000,3.430753,-0.007109269,-0.0965756
27,1,1,2,320,1,377,222,4.111515,0.9640423,0,5,0,6657341631135025152,1.363584,-0.08643487,0.1546725
27,1,1,3,1,133,572,240,41.66029,0.995217,1,12,1,6658613796149405312,0.82507,0.0407446,0.007047419
27,1,1,3,1,136,572,240,47.82494,0.9978039,1,13,1,6658613796149405312,0.82507,0.06376564,0.01469483
27,1,1,3,1,164,572,240,34.76186,0.9926894,1,12,1,6658613796149405312,0.82507,0.09309871,0.007047421
27,1,1,3,234,1,788,50,13.86395,0.9823738,0,12,0,6646364652500896256,1.859269,-0.02198927,0.02479538
27,1,1,3,257,1,754,156,6.060022,0.9686489,1,3,0,6646431997589741824,2.423055,0.110443,0.0873263
27,1,1,3,786,2,643,150,5.999469,0.9541392,0,4,0,6646536799087248000,2.983442,0.08077388,0.003176729
27,1,1,4,13,9,875,176,186.0089,0.9986875,1,32,1,6646775457532365312,0.668151,0.06880746,0.05777942
27,1,1,4,13,14,875,176,176.3283,0.9987149,1,31,1,6646775457532365312,0.668151,0.06880746,0.06411973
27,1,1,4,13,35,875,176,152.4261,0.9990985,0,32,1,6646775457532365312,0.668151,0.06714442,0.0675999
27,1,1,5,3,78,1320,115,16.72469,0.978743,1,14,1,6669847132790663552,0.489726,-0.02778444,-0.03406986
27,1,1,5,3,81,1320,115,14.21527,0.9848386,1,17,1,6669847132790663552,0.489726,-0.05843109,-0.03406986
27,1,1,5,3,82,1320,115,14.91954,0.9840754,1,17,1,6669847132790663552,0.489726,-0.05843869,-0.03412685
27,1,1,5,3,96,1320,115,13.94519,0.990531,1,18,1,6669847132790663552,0.489726,0.05267644,-0.03406986
27,1,1,5,18,26,1279,92,56.20216,0.998684,0,34,1,6669838680294876288,0.539023,0.01996565,0.06083801
27,1,1,5,18,28,1279,92,56.44485,0.998181,0,35,1,6669838680294876288,0.539023,0.02002727,0.06834909
27,1,1,5,18,30,1279,92,46.66762,0.9982775,0,35,1,6669838680294876288,0.539023,0.01999071,0.06403129
27,1,1,5,21,21,1100,245,58.65571,0.9914367,1,12,1,6646146919135821568,0.772575,-0.06702471,0.07599165
27,1,1,5,21,22,1100,245,41.83812,0.9902045,1,11,1,6646146919135821568,0.772575,-0.08163927,0.07200711
27,1,1,5,21,24,1100,245,47.01695,0.9960062,1,11,1,6646146919135821568,0.772575,-0.05878847,0.07604806
27,1,1,5,33,121,1312,101,33.74445,0.9937917,1,12,1,6669843353219348224,0.77522,-0.01961153,0.0224955
27,1,1,5,33,122,1312,101,33.58382,0.994545,1,12,1,6669843353219348224,0.77522,-0.0150816,0.04469474
27,1,1,5,33,131,1312,101,25.19511,0.9956456,1,12,1,6669843353219348224,0.77522,-0.01507816,0.06360437
27,1,1,5,37,14,1247,183,14.55286,0.984481,0,34,1,6669922518056820608,0.566866,0.04540775,0.09213164
27,1,1,5,417,1,1318,200,4.669424,0.9479497,1,2,0,6669941553349818496,3.814165,-0.1038601,-0.1419774
27,1,1,6,2,89,1416,108,62.2661,0.9971643,1,24,1,6666950671268333440,0.509203,0.06190552,0.06600428
27,1,1,6,12,26,1566,49,18.2859,0.9929757,1,19,1,6666714040047435648,0.416425,-0.03203975,0.03158677
27,1,1,6,12,38,1566,49,27.13498,0.9926764,1,21,1,6666714040047435648,0.416425,0.07908961,0.01002363
27,1,1,7,15,58,1594,261,20.40607,0.994344,1,13,1,6667388384272563200,0.780711,0.01882414,0.02839076
27,1,1,7,15,63,1594,261,19.66728,0.9963772,1,13,1,6667388384272563200,0.780711,0.01452339,0.01194625
27,1,1,7,15,64,1594,261,21.17799,0.9938501,1,11,1,6667388384272563200,0.780711,0.01907388,0.0354058
27,1,1,7,15,65,1594,261,19.74392,0.9967492,1,13,1,6667388384272563200,0.780711,0.01023036,0.03532027
27,1,1,7,133,81,1694,235,12.97094,0.7893689,1,27,1,6667341414510073728,0.714666,-0.04809272,0.09290213
27,1,1,7,228,2,1621,12,10.33519,0.9814618,0,9,0,6667034101010027776,2.388569,0.0889302,-0.02707427
27,1,1,7,518,1,1639,42,13.51026,0.9901012,0,8,0,6667037674422845952,3.170299,0.06530442,0.06822493
27,1,1,7,797,1,1653,127,5.206318,0.9652382,1,7,0,6667114017464726144,1.796535,-0.01121599,0.1022061
27,1,1,8,2,72,2013,210,67.30629,0.9965992,1,29,1,6667984074759627264,0.562954,-0.01258585,0.03525517
27,1,1,8,2,75,2013,210,88.03815,0.9957579,1,21,1,6667984074759627264,0.562954,-0.01258585,0.02388703
27,1,1,8,2,108,2013,210,94.81904,0.9988297,1,21,1,6667984074759627264,0.562954,-0.01258494,0.03522917
27,1,1,8,2,137,2013,210,47.79668,0.9973695,1,19,1,6667984074759627264,0.562954,0.01101713,0.0789225
27,1,1,8,3,140,1985,114,42.6678,0.9974843,1,15,1,6667882614748618112,0.767855,0.04257471,0.01008623
27,1,1,8,3,144,1985,114,38.6795,0.9969889,1,15,1,6667882614748618112,0.767855,0.04257695,0.01987998
27,1,1,8,3,149,1985,114,50.69537,0.9976894,1,15,1,6667882614748618112,0.767855,0.04257068,0.02241936
27,1,1,8,3,154,1985,114,44.27898,0.9971317,1,15,1,6667882614748618112,0.767855,0.02835693,0.06241102
27,1,1,8,112,9,2069,7,13.39768,0.985834,0,6,0,6667637458015495808,3.396431,-0.04109705,-0.0510398
27,1,1,8,598,1,1933,91,12.55356,0.9811604,0,4,0,6666381265981032832,1.778522,0.001761075,0.08362428
27,1,1,8,699,1,1898,248,10.04019,0.9848788,0,4,0,6667226446825416704,1.350936,-0.07857275,-0.02520132
27,1,1,9,587,1,168,430,9.431435,0.9820257,1,9,0,6658347375037901696,2.430896,-0.02222455,-0.01392916
27,1,1,9,682,2,288,403,14.85521,0.9456096,0,13,0,6658230655005660160,1.574757,0.03715024,0.07197028
27,1,1,10,19,10,359,454,18.40895,0.9956747,0,19,1,6658258550816270208,0.613711,0.007157751,0.02494489
27,1,1,10,420,1,400,350,6.493641,0.9690631,0,5,0,6657425915573671552,2.415084,0.01098508,0.03758169
27,1,1,10,559,2,368,388,19.2875,0.9957939,0,7,1,6658189182802104448,2.059023,0.05348097,0.071386
27,1,1,11,59,5,680,354,13.83434,0.9842028,1,18,1,6658743985198089728,0.494469,0.1263758,0.00303232
27,1,1,11,61,101,783,315,3.980451,0.8831025,0,3,0,6646729419780721792,3.072995,0.0905165,-0.03406148
