objid,eventid,classification,sector,camera,ccd,cut,xcentroid,ycentroid,xcentroid_err,ycentroid_err,xint,yint,xccd,yccd,xcentroid_det,ycentroid_det,xcentroid_psf,ycentroid_psf,ra,dec,ra_err,dec_err,gal_l,gal_b,frame_start,frame_end,frame_max,frame_duration,mjd_start,mjd_end,mjd_max,mjd_duration,flux_max,mag_min,flux_sign,image_sig_max,lc_sig_max,lc_sig_med,lc_flat,snr_psf,psf_like,psf_diff,psf_stacked,com_motion,gaussian_score,ellipticity,fwhm,neg_extent,bad_frame_flag,known_asteroid_designation,known_asteroid_dist_px,known_asteroid_frame,source_mask,gaia_id,nearest_gaia_id,nearest_gaia_dx,nearest_gaia_dy,crossbin_ids,asteroid_id,n_detections,total_events,frame_bin,TSS Catalogue
382,1,-,55,1,1,1,238.22221868387004,124.97734970457628,0.1631784712086754,0.1814719541915564,238,125,282,125,238.404971228955,124.89990004504916,238.22221868387004,124.97734970457628,328.56315389486724,17.99399692002029,0.0009072995495609,0.0009362421615335,74.31996148120588,-27.70894629306724,873,874,874,2,59802.67520149408,59802.6821460681,59802.6821460681,0.006944574022782,30.061255,-3.6950178,1,4.88452744790642,11.810905456542969,7.574877738952637,1,9.342559080284213,0.8203392137406711,0.8679999460399322,0,0.0,0.3944778937629325,0.33215744257864,3.4077897235134844,1.3894429206848145,0,,,,10.0,-,1779220507657807360,0.8888688524079384,-1.0506941637114269,[],-1,2,3,1,TSS 215415.16+175938.39
1207,1,-,55,1,1,1,176.50000000000006,18.20006089844737,0.1455689506519055,0.1597490927909079,177,18,221,18,176.11898667293528,18.399409570019767,176.50000000000006,18.20006089844737,328.6871418957351,18.612075582952777,0.0008031510860936,0.0008142068377508,74.90273408441888,-27.35004351841981,1936,1937,1936,2,59815.73089814816,59815.73784258342,59815.73089814816,0.0069444352557184,22.628777,-3.3866527,1,4.633483340720604,11.28055477142334,7.371137142181396,1,10.517645106706675,0.7552178568889143,0.7687077634090762,0,0.0,0.616053640537599,0.5147874047517376,1.4321198872974654,1.3130357265472412,0,,,,0.0,-,1779415980209839744,-0.0564549228132023,-1.8088118429747624,[],-1,2,2,1,TSS 215444.91+183643.47
939,2,-,55,1,1,3,77.24739564646323,168.3345046433096,0.1139023450940077,0.1171490305480358,77,168,628,168,77.05524696566484,168.13517105472468,77.24739564646323,168.3345046433096,326.7571778017648,17.253068452875006,0.0006378828397316,0.0006194527342689,72.36407737145002,-27.006104221567117,1455,1458,1456,4,59812.39061656113,59812.41144997866,59812.39756103364,0.0208334175258642,37.364212,-3.9311397,1,5.503319966365633,10.764098167419434,5.961711406707764,1,18.895370734045404,0.9824779785431804,0.2567659790317539,0,0.2430300667689112,0.8991719734627928,0.3655602079610932,4.0641690823483785,0.3540124745582495,0,,,,0.0,-,1773139113140168448,-0.0064585364033291,-0.1397214335587762,[4140],-1,4,2,1,TSS 214701.72+171511.05
1067,1,-,55,1,1,3,188.19904510617943,47.186345287087285,0.1343054565295306,0.1453335225155357,188,47,739,47,187.97424816819887,47.276099055953566,188.19904510617943,47.186345287087285,325.90677794005427,17.688652168077603,0.0007577341859284,0.0007607829514487,72.08832187118388,-26.11903458652546,1482,1484,1482,3,59812.57811728445,59812.59200622388,59812.57811728445,0.0138889394293073,20.537708,-3.28138,1,3.932794856090821,10.301051139831545,6.305442333221436,1,11.710837312260765,0.8917764524244086,0.592512580685721,1,0.0,0.6029456224940645,0.2686194421932369,2.808804139626794,1.5006176233291626,0,,,,0.0,-,1773953816896620160,-0.1822392553797271,-0.2178364670844814,[],-1,3,2,1,TSS 214337.63+174119.15
1198,1,-,55,1,1,3,240.7425839870739,238.1490692577941,0.113249624948488,0.1161563124923047,241,238,792,238,240.2417027367809,238.44689010505132,240.7425839870739,238.1490692577941,325.992166431865,16.636154720170946,0.0006390199859017,0.0006217425558041,71.29670009708705,-26.901730028284124,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,48.166473,-4.206862,1,5.150728210989526,15.423858642578123,14.30868148803711,1,19.77372114748728,0.8420358903593183,0.7851496220128447,1,0.1243592856216711,0.1176864014941764,0.3387773803605837,3.055139221619681,2.1462510989325634,0,,,,8.0,-,1772716655861446144,0.5764810433273624,1.1370640294689167,[4455],-1,2,2,1,TSS 214358.12+163810.16
1199,1,-,55,1,1,3,191.83889199610508,75.82907371535038,0.1120512410653878,0.1142979949695807,192,76,743,76,191.8397417008109,75.96497770391264,191.83889199610508,75.82907371535038,325.94309378233834,17.538762893934315,0.0006281658972967,0.0006028578956767,71.99388541222079,-26.247420633016205,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,55.04839,-4.3518615,1,6.3488784525356365,23.720443725585938,20.669404983520508,1,22.1206838595564,0.7503894868036223,0.6682391757428295,1,0.1080969777112949,0.854136232431712,0.3113686121381591,2.4193833398264264,0.1235665643650554,0,,,,8.0,-,1773933338492508800,0.0828150800064122,-0.5517015537428165,[4457],-1,2,1,1,TSS 214346.34+173219.55T59820
1201,1,-,55,1,1,3,109.55553374649128,205.4773999972991,0.1246047017076393,0.1324053792555823,110,205,661,205,109.54219228082518,205.30341928832263,109.55553374649128,205.4773999972991,326.6523033979378,17.01366720452572,0.0007021437010837,0.000701305917115,72.09232621667397,-27.099829457820245,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,35.497803,-3.8755035,1,5.085500755513335,13.770620346069336,12.334798812866213,1,13.449204433324931,0.8904988573542286,0.4741823167115934,1,0.0361010626907103,0.8539649599337915,0.5533432921246988,2.758402498118836,1.1346794905627104,0,,,,0.0,-,1773108219440385792,-0.500300032700352,-0.3084406151510848,[4459],-1,2,1,1,TSS 214636.55+170049.20T59820
1203,1,-,55,1,1,3,73.44444819284173,130.477399999446,0.1697082242747301,0.1893465579155466,73,130,624,130,73.44054643610134,131.18784155570094,73.44444819284173,130.477399999446,326.70361920138873,17.4503580154162,0.0009593212126881,0.0009915957546403,72.48347722093962,-26.832316044771783,2550,2551,2551,2,59820.02254874372,59820.02949314824,59820.02949314824,0.0069444045220734,31.458284,-3.7443376,1,5.810217277673179,16.593442916870117,14.02771282196045,1,9.018864842845392,0.8187359427716756,1.018639151059761,0,0.1904307528620463,0.7611030153493861,0.5263118659226385,1.9088943766786053,1.8328638980065304,0,,,,0.0,-,1773894370253575296,1.1236451386610042,-0.5746957531755754,[4461],-1,2,1,1,TSS 214648.87+172701.29T59820
969,2,-,55,1,1,4,160.18744604818528,227.89620896785087,0.1098714609326167,0.1106615918651286,160,228,967,228,160.23393769994306,227.96678704119665,160.18744604818528,227.89620896785087,324.99901156419907,16.398352135090914,0.0006219340751944,0.0005965358972026,70.37663569173645,-26.366202995388317,1485,1502,1485,18,59812.5989506936,59812.71700666061,59812.5989506936,0.1180559670174261,179.5799,-5.635644,1,12.48005385542561,77.90001678466797,13.58383846282959,1,103.54860461552636,0.9973031381160594,0.0825974060702302,0,0.0,0.5435534598514687,0.2897931239781218,2.825390968105865,1.5737515021155,0,,,,9.0,-,1773352968151544192,-0.2107824191161853,0.0998120542256799,[6084],-1,18,2,1,TSS 213959.76+162354.07
112,1,-,55,1,1,5,24.610628264471792,156.47739999999993,0.109869179648506,0.1106565489364134,25,156,1088,156,24.59054089941585,156.78508734124762,24.610628264471792,156.47739999999993,324.1883611337736,16.559955582072444,0.0006226861138387,0.000595614293743,69.92682455615213,-25.682819684625183,183,192,184,10,59797.88343034586,59797.94593195399,59797.89037496924,0.0625016081321518,274.9999,-6.0983315,1,16.391407158005542,93.1204605102539,20.80516815185547,1,120.89731028610626,0.9851298459009245,0.1626055665538008,0,0.0,0.877510047587444,0.2000356311158319,2.2777435249072986,0.2065917960243653,0,,,,9.0,-,1773581078159763456,-0.0728813912439818,0.0978854014910837,[3568],-1,10,43,1,TSS 213645.21+163335.84
